layer_1_term_1,index,x,y_pred,y_true,y_best,final_ans_in_last_layer,y_pred_similarity_score,y_pred_similarity_percentile,y_best_similarity_score,y_best_similarity_percentile,layer_1_term_1_votes,layer_1_term_2,layer_1_term_2_votes,layer_1_term_3,layer_1_term_3_votes,layer_2_term_1,layer_2_term_1_votes,layer_2_term_2,layer_2_term_2_votes,layer_2_term_3,layer_2_term_3_votes,layer_2_term_4,layer_2_term_4_votes,layer_2_term_5,layer_2_term_5_votes,layer_2_term_6,layer_2_term_6_votes,layer_3_term_1,layer_3_term_1_votes,layer_3_term_2,layer_3_term_2_votes,layer_3_term_3,layer_3_term_3_votes,layer_3_term_4,layer_3_term_4_votes,layer_3_term_5,layer_3_term_5_votes,layer_3_term_6,layer_3_term_6_votes,layer_4_term_1,layer_4_term_1_votes,layer_4_term_2,layer_4_term_2_votes,layer_4_term_3,layer_4_term_3_votes,layer_4_term_4,layer_4_term_4_votes,layer_4_term_5,layer_4_term_5_votes,layer_4_term_6,layer_4_term_6_votes,layer_5_term_1,layer_5_term_1_votes,layer_5_term_2,layer_5_term_2_votes,layer_5_term_3,layer_5_term_3_votes,layer_5_term_4,layer_5_term_4_votes,layer_5_term_5,layer_5_term_5_votes,layer_5_term_6,layer_5_term_6_votes
Cellular response to stress,50,TH TNF RELA B2M BAD NTRK1 CHRNA2 NFKB1,Transcriptional regulation by NF-kappaB,cellular response to nicotine,Cellular response to stress,TRUE,0.30385023,0.755035206,0.56124514,0.968478795,0,Signal transduction,1,Immune system process,1,Neurotrophin TRK receptor signaling pathway,1,NF-kappaB signaling,1,Apoptotic signaling pathway,0,Inflammatory response,0,NF-kappaB signaling,1,Apoptotic process,0,Neuronal differentiation,0,Neuronal apoptosis,0,Synaptic transmission regulation,0,I-kappaB kinase/NF-kappaB signaling,1,Tumor necrosis factor-mediated signaling,0,Neurotrophin TRK receptor signaling pathway,1,Nuclear translocation of NF-kappaB,1,TNF-alpha-mediated NF-kappaB signaling,1,Anti-apoptotic NF-kappaB signaling,0,Neuronal apoptosis regulation by NTRK1,0,NF-kappaB activation by neurotrophins,0,Synaptic plasticity modulation by neurotrophin TRK signaling,0,DNA binding of NF-kappaB,0,Transcriptional regulation by NF-kappaB,*,Induction of anti-apoptotic gene expression,0,RELA subunit nuclear translocation,0,I-kappaB degradation,0,TNF receptor 1 signaling pathway,1
Metabolism,51,LOC102724560 MMUT MTHFR DPEP1 MTHFD1 MTRR CBS MPST CPS1 TST BLMH BHMT CTH NOX4,Methionine Synthesis,homocysteine metabolic process,Homocysteine Metabolism,TRUE,0.60059893,0.997625675,0.9850093,0.999918127,1,Cellular process,1,Regulation of gene expression,0,Amino Acid Metabolism,1,One-Carbon Metabolism,1,Detoxification,0,Amino acid metabolism,0,One-carbon metabolic process,0,Detoxification of reactive oxygen species,0,Sulfur Amino Acid Metabolism,1,Homocysteine Metabolism,1,Methionine Cycle,0,Homocysteine Metabolism,1,Folate Cycle,0,Transsulfuration Pathway,0,Homocysteine Metabolism,1,Methionine Salvage Pathway,0,Transsulfuration Pathway,1,Methionine Synthesis,0,Homocysteine Remethylation,0,Transsulfuration Pathway,1,Methionine Synthesis,*,Homocysteine Catabolism,0,Transsulfuration Pathway,1,Homocysteine Catabolism,0,Cystathionine Metabolism,0,Glutathione Biosynthesis,0
Signal transduction,52,LRP2 GJC2 EMX1 LYN PTPRZ1 CDH2 SIRT2,Synaptic growth cone guidance,oligodendrocyte progenitor proliferation,Oligodendrocyte differentiation,TRUE,0.35306126,0.660307843,0.7455355,0.998116915,1,Neurodevelopment,1,Cellular metabolic process,0,Tyrosine kinase signaling pathway,1,Cell-cell adhesion mediated by cadherin,0,Neurogenesis,1,Neuron differentiation,0,Synaptic adhesion,0,Oligodendrocyte differentiation,0,Regulation of cell adhesion mediated by tyrosine kinase signaling,1,Neuron projection development,1,Regulation of synaptic plasticity by tyrosine kinase signaling,0,Neuronal differentiation,0,Synaptic assembly,0,Axon guidance,0,N-cadherin-mediated cell adhesion,0,Synaptic adhesion mediated by N-cadherin,0,PTPRZ1-modulated cell adhesion,0,Axon guidance,1,Synapse assembly,1,Dendritic spine development,0,Synaptic growth cone guidance,*,Chemotropic guidance of axons,0,Axonal fasciculation,0,Neuronal synapse formation,1,Postsynaptic density assembly,0,Synaptic vesicle clustering,0
Protein Prenylation,53,FNTA AIPL1 CHURC1-FNTB FNTB,Retinal photoreceptor cell protein farnesylation,protein farnesylation,Protein Farnesylation,TRUE,0.8536706,0.999918127,0.9999999,0.999918127,1,Visual Perception,1,Protein Modification Process,0,Protein Farnesylation,1,Farnesyltransferase Complex Assembly,1,Visual Phototransduction,0,Phototransduction,0,Rhodopsin Metabolic Process,0,Retinal Photoreceptor Cell Maintenance,0,Ras Protein Farnesylation,1,Lamina A Maturation,0,Protein Farnesylation Signaling Pathway Regulation,0,Farnesyl diphosphate binding,0,Protein farnesylation,1,Regulation of farnesyltransferase activity,0,HRas Farnesylation,0,Signal Transduction via Farnesylated Ras Proteins,0,KRas Farnesylation,0,CAAX-box protein farnesylation,1,Ras protein farnesylation,1,Farnesyltransferase complex assembly,0,Retinal photoreceptor cell protein farnesylation,*,FNTB-associated protein farnesylation,0,Chaperone-mediated protein farnesylation,0,HRas farnesylation,0,Ras protein localization to the plasma membrane,1,Regulation of Ras protein signal transduction,0
Muscle contraction,54,TMEM38B SELENON CASQ2 P2RY6 CACNA1S CHEK1 SLC8A1 P2RY1 GSTM2 RYR3 RYR1 RYR2 TMEM38A TRPM2,Excitation-contraction coupling in cardiac cells,cellular response to purine-containing compound,Cellular calcium ion homeostasis,TRUE,0.33538172,0.668740789,0.38735816,0.890617324,1,Intracellular signal transduction,0,Cellular calcium ion homeostasis,1,Skeletal muscle contraction,1,Regulation of muscle contraction by calcium ions,0,Excitation-contraction coupling,1,Calcium ion transmembrane transport,0,Regulation of calcium ion release into cytosol,0,Calcium ion sequestration,0,Excitation-contraction coupling,1,Regulation of sarcoplasmic reticulum calcium ion release,1,Calcium ion transport into cytosol,0,Calcium ion release from sarcoplasmic reticulum,0,Voltage-gated calcium channel activation,0,Sarcoplasmic reticulum calcium ion reuptake,0,Calcium ion release from sarcoplasmic reticulum,0,Voltage-gated calcium channel opening,0,Sarcoplasmic reticulum calcium ion transport,0,Ryanodine receptor-mediated calcium ion release,1,Calcium-induced calcium release signaling,1,Sarcoplasmic reticulum calcium ion homeostasis,0,Skeletal muscle contraction,1,Cardiac muscle contraction,0,Excitation-contraction coupling in cardiac cells,*,Cardiac muscle contraction,0,Skeletal muscle contraction,1,Regulation of heart rate by cardiac conduction,0
Developmental process,55,SPDEF IL13 HOXA5 ADAMTSL2 WNT7B AGR2,Ciliated bronchial epithelial cell differentiation,lobar bronchus development,Bronchial tube morphogenesis,TRUE,0.70219266,0.998280662,0.7952493,0.999345014,1,Immune system process,1,Cell communication,0,Respiratory system development,1,Gastrointestinal tract development,1,Epithelial cell differentiation,0,Th2 cell differentiation,0,Cytokine production involved in immune response,0,Mucosal immune response,0,Bronchial tube morphogenesis,1,Alveolar epithelial cell differentiation,0,Airway smooth muscle development,0,Intestinal epithelial cell differentiation,0,Mucin production,1,Submucosal gland development,0,Bronchial epithelial cell differentiation,1,Submucosal gland development,0,Regulation of bronchial smooth muscle cell proliferation,0,Mucin secretion,0,Goblet cell differentiation,1,Mucosal barrier maintenance,0,Ciliated bronchial epithelial cell differentiation,*,Goblet cell mucin production,1,Regulation of bronchial epithelial cell proliferation,0,Mucin biosynthesis,0,Regulation of goblet cell maturation,0,Mucosal immune response modulation,0
Post-translational protein modification,56,HS3ST5 TPST1 CHST4 CHST5 NDST1 HS3ST3B1 TPST2 UST,Extracellular matrix organization,protein sulfation,Post-translational protein sulfation,TRUE,0.34051806,0.649091207,0.9230671,0.999918127,1,Glycosaminoglycan biosynthetic process,1,Cellular response to external stimuli,0,Protein tyrosine sulfation,1,Heparan sulfate biosynthesis,0,Chondroitin sulfate modification,0,Heparan sulfate biosynthetic process,1,Chondroitin sulfate biosynthetic process,0,Tyrosine sulfation process,0,Tyrosine sulfation in chemokine receptors,0,Tyrosine sulfation in adhesion molecules,0,Tyrosine sulfation in coagulation cascade proteins,0,Heparan sulfate 3-O-sulfation,1,N-deacetylation/N-sulfation of heparan sulfate,1,Tyrosylprotein sulfotransferase activity,0,Heparan sulfate D-glucosaminyl 3-O-sulfation,1,Regulation of heparan sulfate 3-O-sulfation,0,Heparan sulfate 3-O-sulfation by HS3ST5,0,3-O-sulfation of heparan sulfate,0,Tyrosylprotein sulfotransferase activity,1,Chondroitin sulfate biosynthetic process,0,Heparan sulfate D-glucosaminyl 3-O-sulfation by HS3ST3B1,0,Regulation of heparan sulfate D-glucosaminyl 3-O-sulfation,0,Heparan sulfate D-glucosaminyl 3-O-sulfation in cellular response to growth factors,0,Post-translational protein sulfation,0,Extracellular matrix organization,*,Signal transduction via protein sulfation,1
Vision,57,ROM1 PRPH2 AHI1 CRB1 NPHP4 BBS4 RP1 PCARE IFT20 CNGB1 CDHR1 MFSD2A IFT140 TOPORS,Photoreceptor outer segment organization,photoreceptor cell outer segment organization,Photoreceptor cell outer segment organization,TRUE,0.9904006,0.999918127,1,0.999918127,1,Ciliary assembly,1,Cellular transport,0,Photoreceptor cell maintenance,1,Phototransduction,0,Ciliary transport in photoreceptor cells,1,Intraflagellar transport,0,Ciliary basal body anchoring,0,Photoreceptor cell outer segment organization,0,Photoreceptor outer segment organization,1,Retinal photoreceptor cell protein localization,0,Ciliary transport in photoreceptor cells,1,Rhodopsin trafficking,0,Photoreceptor disk morphogenesis,0,Intraflagellar transport in photoreceptors,0,Photoreceptor disc morphogenesis,1,Maintenance of photoreceptor cell polarity,0,Intracellular transport of photoreceptor proteins,1,Anterograde ciliary transport in photoreceptor cells,0,Rhodopsin trafficking in photoreceptor cells,0,Photoreceptor disk morphogenesis,0,Photoreceptor disc shedding,0,Photoreceptor outer segment organization,*,Retinal photoreceptor disc membrane protein transport,0,Intraflagellar transport in photoreceptors,1,Photoreceptor outer segment protein targeting,0,Regulation of photoreceptor protein transport,0
Membrane lipid distribution,58,TMEM30A ATP8A2 FASLG ABCB4 PRKCD ATP8A1,Caspase-dependent phosphatidylserine exposure,regulation of phospholipid translocation,Regulation of apoptotic signaling by phospholipid translocation,TRUE,0.33425868,0.777714099,0.81696075,0.999918127,1,Apoptosis,1,Signal transduction,0,Phosphatidylserine externalization,1,Bile acid secretion,0,Apoptotic signaling pathway,0,Extrinsic apoptotic signaling pathway,1,Activation of cysteine-type endopeptidase activity,0,Apoptotic signaling in response to DNA damage,0,Apoptotic cell clearance,1,Immune response regulation,0,Bile acid secretion,0,Activation of death receptor signaling,0,Caspase activation via death receptors,0,Regulation of apoptotic signaling by phospholipid translocation,1,Phosphatidylserine externalization in apoptosis,1,Recognition of apoptotic cells by phagocytes,0,Engulfment of apoptotic cells,0,Phosphatidylserine exposure on plasma membrane,0,Activation of immune response via 'eat-me' signals,0,Extrinsic apoptotic signaling pathway activation,1,Caspase-dependent phosphatidylserine exposure,*,Recognition of apoptotic cells by phagocytes,0,Annexin V binding to apoptotic cells,0,FASLG-mediated extrinsic apoptotic signaling pathway,1,Activation of caspase-8 in extrinsic apoptotic signaling pathway,0,Cleavage of bid by caspase-8,0
Chromatin organization,59,KMT5A BRCA1 BEND3 TTLL12 KMT5B KMT5C ARID4B NSD2 ARID4A PWP1,Double-strand break repair via homologous recombination,histone H4-K20 methylation,Histone H4-K20 methylation,TRUE,0.2608412,0.442852464,1,0.999918127,1,DNA repair,0,Gene expression regulation,1,Histone methylation,1,Chromatin remodeling,1,DNA repair,0,Chromatin modification,0,DNA repair,0,Transcription factor binding,0,Histone H4-K20 methylation,1,Histone H3-K36 methylation,0,Chromatin remodeling via histone methylation,1,Histone methylation,0,Histone ubiquitination,0,ATP-dependent chromatin remodeling,0,Chromatin silencing by H4-K20 methylation,1,DNA damage response via H4-K20 methylation,1,Regulation of transcription by H4-K20 tri-methylation,0,Histone H4-K20 methylation,0,BRCA1-mediated DNA damage response,0,Regulation of transcription by NSD2-mediated histone methylation,0,Histone H4-K20 tri-methylation,0,Recruitment of chromatin remodeling complexes,0,Regulation of DNA repair by chromatin structure modification,0,Double-strand break repair via homologous recombination,*,Chromatin remodeling in response to DNA damage,1,Transcriptional regulation in response to DNA damage,0
Cellular metabolic process,60,LRPPRC SUPV3L1 SLIRP PNPT1 PDE12 GRSF1,Mitochondrial mRNA deadenylation,mitochondrial RNA catabolic process,Mitochondrial RNA processing,TRUE,0.7481787,0.999590634,0.7538444,0.999099394,0,Gene expression,1,RNA processing,1,Mitochondrial gene expression,1,RNA processing,1,Regulation of translation,0,Mitochondrial RNA processing,0,RNA exonucleolytic cleavage,0,RNA deadenylation,0,Mitochondrial mRNA stability,1,Mitochondrial RNA translation,0,Mitochondrial RNA processing,1,Mitochondrial RNA processing,1,RNA editing,0,RNA import into mitochondria,0,Mitochondrial mRNA polyadenylation,0,Mitochondrial mRNA surveillance,1,Mitochondrial RNA processing,1,Mitochondrial mRNA surveillance,1,Mitochondrial RNA editing,0,Mitochondrial tRNA maturation,0,Mitochondrial mRNA deadenylation,*,Mitochondrial RNA import,1,Mitochondrial mRNA binding,0,Mitochondrial mRNA polyadenylation,0,Mitochondrial RNA editing,0,Mitochondrial RNA import,1
Cellular component organization,61,KATNB1 STMN2 TRPV4 SPAST,Microtubule severing,positive regulation of microtubule depolymerization,Regulation of microtubule depolymerization,TRUE,0.660147,0.997625675,0.86873233,0.99975438,1,Neurological system process,1,Response to stimulus,0,Microtubule cytoskeleton organization,0,Regulation of microtubule depolymerization,0,Response to mechanical stimulus,0,Neuron microtubule cytoskeleton organization,1,Neuronal response to mechanical stimulus,0,Neuron projection development,1,Neuronal microtubule stabilization,0,Axonal microtubule dynamics regulation,1,Neuronal response to mechanical stimulus,0,Axonogenesis,0,Dendrite morphogenesis,0,Neurite branching,1,Axonal microtubule stabilization,1,Axonal microtubule polymerization,0,Neuronal mechanotransduction signaling,0,Microtubule-based neurite branching,0,Neuronal cytoskeleton remodeling,1,Neuronal signal transduction in neurite branching,0,Microtubule plus-end tracking,0,Microtubule-associated protein binding,0,Calcium-mediated microtubule stabilization,0,Microtubule severing,*,Stabilization of microtubule dynamics,1,Regulation of microtubule-associated proteins,0
Chromosome organization,62,HDAC8 NAA50 WAPL RAD21 SMC3 STAG3 STAG2 MAU2 RB1 STAG1 NIPBL SMC1A DDX11 CDCA5,Cohesin complex assembly,establishment of sister chromatid cohesion,Establishment of sister chromatid cohesion,TRUE,0.75259745,0.999836253,1,0.999918127,1,Gene expression,0,Cell cycle,1,Sister chromatid cohesion,1,Chromosome condensation,0,DNA repair,0,Chromosome segregation,1,Sister chromatid cohesion,1,DNA replication,0,Cohesin loading onto DNA,1,Cohesin complex stabilization,1,Resolution of sister chromatid intertwines,0,Sister chromatid cohesion,0,Cohesin complex assembly,0,Regulation of chromosome segregation,0,Establishment of sister chromatid cohesion,1,Cohesin complex assembly,0,Regulation of cohesin loading,0,Cohesin complex acetylation,0,Cohesin-DNA loading,1,Cohesin complex ATPase activation,0,Cohesin complex assembly,*,DNA loading of cohesin,0,Regulation of cohesin complex,0,Cohesin ring establishment,0,Sister chromatid cohesion establishment,1,Regulation of cohesin release,0
Signal transduction,63,SPART FGF13 ULK1 FSTL4 PTPRS IFRD1 SPP1 EPHA7 ULK2 DCC,DCC-mediated netrin-1 signaling,negative regulation of collateral sprouting,Axon branching regulation by netrin-1,TRUE,0.35358346,0.784509579,0.42172983,0.915015556,1,Cellular response to stress,1,Regulation of cell proliferation,0,Neuronal signal transduction,1,Axon guidance,1,Cellular response to growth factor stimulus,0,Autophagy,0,Response to growth factor,0,Negative regulation of cell proliferation,0,Axon guidance,1,Synaptic signaling,0,Neurotrophin signaling pathway,0,Ephrin receptor signaling pathway,1,Netrin-1 signaling pathway,0,Autophagy in neuronal cells,0,Netrin-1 signaling in axon guidance,1,Ephrin receptor signaling in neuron development,1,Growth cone navigation,0,Ephrin receptor forward signaling pathway,0,Neuronal axon guidance via EPHA7,0,EPHA7-mediated dendritic spine development,0,DCC-mediated netrin-1 signaling,*,Axon branching regulation by netrin-1,0,Growth cone navigation by netrin-1,0,EPHA7-mediated dendritic spine morphogenesis,1,EPHA7-regulated axon repulsion,0,EPHA7 influence on synaptic plasticity,0
Ion transport,64,SLC26A2 SLC35B2 SLC26A1 SLC35B3 PAPSS2 PAPSS1,Sulfate ion transport into Golgi,purine ribonucleoside bisphosphate biosynthetic process,Sulfate ion symport regulation by PAPS,TRUE,0.18372414,0.200098248,0.33205748,0.763058785,1,Sulfate metabolic process,1,Glycosaminoglycan metabolic process,0,Sulfate ion transport,1,Anion exchange,0,Sulfate conjugation,0,Sulfation,0,Chondroitin sulfate biosynthetic process,0,Glycosaminoglycan sulfation,1,Sulfate ion transmembrane transport,1,Regulation of sulfate transport,0,Sulfate ion homeostasis,0,Chondroitin sulfate sulfation,1,Heparan sulfate sulfation,0,Dermatan sulfate sulfation,0,Sulfate ion symport,1,Sulfate ion exchange via antiporter,0,Activation of sulfate transporters,0,Chondroitin sulfate biosynthesis,1,Chondroitin sulfate chain elongation,0,Chondroitin sulfate proteoglycan assembly,0,Chondrocyte sulfate ion symport,0,Sulfate ion symport regulation by PAPS,0,Sulfate ion symport in kidney cells,0,Chondroitin chain polymerization,1,Sulfate ion transport into Golgi,*,Activation of sulfate,0
DNA repair,65,XRCC4 SLF2 SLF1 IFFO1 PARP3,Ligase IV complex formation,protein localization to site of double-strand break,DNA double-strand break repair,TRUE,0.47830433,0.983134108,0.648022,0.996397577,1,Cellular response to stress,0,Chromosomal organization,1,double-strand break repair via non-homologous end joining,1,DNA damage response,1,DNA ligation,0,DNA repair,0,Chromosome segregation,0,Chromatin remodeling,0,DNA end processing involved in double-strand break repair via non-homologous end joining,1,DNA ligation involved in double-strand break repair via non-homologous end joining,1,DNA damage response signaling pathway involved in double-strand break repair via non-homologous end joining,0,DNA double-strand break repair,0,DNA damage signaling,0,Chromatin organization,0,DNA ligation in double-strand break repair via non-homologous end joining,1,DNA-PK complex formation in double-strand break repair via non-homologous end joining,0,Adenosine diphosphate (ADP)-ribosylation in double-strand break repair via non-homologous end joining,0,DNA end processing involved in DNA repair,0,DNA-PK complex assembly involved in double-strand break repair,1,Regulation of DNA ligation involved in double-strand break repair,0,Ligase IV complex formation,*,DNA-PKcs recruitment and activation,0,End-bridging complex stabilization,0,DNA end processing involved in double-strand break repair,0,DNA ligation involved in double-strand break repair,1,Regulation of DNA ligase activity,0
Immune system process,66,TNF FCGR1A CNR1 CD81 KARS1 BTK C3 PARK7 HLA-E CCR7 ZP3 CD28 LTA,Regulation of lymphocyte activation,positive regulation of inflammatory response to antigenic stimulus,Activation of immune response,TRUE,0.4193269,0.934501392,0.82299984,0.999426887,1,Cell communication,1,Response to stress,0,Inflammatory response,1,Adaptive immune response,0,Phagocytosis,0,Immune response signaling,1,Lymphocyte activation,0,Inflammatory response,1,Cytokine production,0,Complement activation,0,Leukocyte migration,0,T cell activation,0,Inflammatory response,1,Antigen processing and presentation,1,Cytokine production,1,Activation of immune response,1,Complement activation,0,MHC class I peptide loading,0,Antigen peptide trimming,0,Endogenous antigen processing via proteasome,0,TNF signaling pathway,1,Regulation of lymphocyte activation,*,Complement activation,0,T-cell activation,0,Cytokine production,0,Antigen processing and presentation,0
Embryonic development,67,WNT3A DKK1 WNT5A MESP1 WNT11,WNT signaling in somite development,regulation of heart induction by canonical Wnt signaling pathway,Cardiogenesis,TRUE,0.61604065,0.991239561,0.66380346,0.989602096,1,Signal transduction,0,Cell differentiation,1,Axis specification,1,Cardiogenesis,0,Wnt signaling pathway,1,Mesoderm differentiation,0,Canonical Wnt signaling pathway,0,Regulation of cell fate commitment,0,Anterior-posterior axis formation,1,WNT signaling pathway,1,Mesoderm formation,0,Canonical Wnt signaling pathway,0,Non-canonical Wnt signaling pathway,0,Wnt signaling pathway involved in dorsal/ventral axis specification,0,Somitogenesis,1,Cardiogenesis,0,Neural tube closure,0,β-catenin dependent WNT signaling pathway,0,WNT/PCP signaling pathway,0,Negative regulation of WNT signaling pathway,0,WNT signaling in somite development,*,Antagonistic regulation of somitogenesis,1,Mesoderm segmentation,0,Cardiac chamber morphogenesis,0,Cardiac cell differentiation,0,Cardiac conduction system development,0
Signal transduction,68,DOCK7 FGF13 RAB10,Regulation of axonal growth cone dynamics,establishment of neuroblast polarity,Axon guidance,TRUE,0.42101336,0.930325856,0.6128316,0.9929589,1,Cellular growth and differentiation,0,Vesicle-mediated transport,1,Neuronal signal transduction,1,ERK1 and ERK2 cascade,0,Vesicle-mediated transport,0,Endocytic vesicle transport,0,Neuronal vesicle trafficking,1,Regulation of exocytosis,0,Axon guidance,1,Synaptic signaling,1,Vesicle-mediated transport in neurons,0,Synaptic vesicle endocytosis,0,Axonal transport of neurotransmitter vesicles,0,Regulation of synaptic vesicle priming,0,Axonal growth cone guidance,1,Neuronal growth factor signaling,0,Regulation of axon extension,1,Regulation of neurotransmitter release,0,Modulation of synaptic transmission,0,Neurotransmitter receptor internalization,0,Actin cytoskeleton organization in growth cones,0,Microtubule-based movement in growth cones,0,Growth cone membrane adhesion and extension,0,Regulation of axonal growth cone dynamics,*,Regulation of microtubule-based movement,0,Regulation of axonal transport,1
Signal transduction,69,OXTR SERPINE2 DDO P2RX1 TACR1 TAC1 SLC6A4 AVPR1A KLK14 SEMG1 ACVR2A OXT EDDM3A,Oxytocin-induced uterine smooth muscle contraction,insemination,Oxytocin-mediated social bonding,TRUE,0.32128128,0.800556738,0.40813023,0.906173244,1,Regulation of neurotransmitter levels,1,Response to stress,0,G protein-coupled receptor signaling pathway,1,Neuropeptide signaling pathway,1,Serotonin signaling pathway,0,Regulation of serotonin levels,0,Modulation of synaptic transmission,0,Neuropeptide signaling pathway,1,Neuropeptide signaling pathway,1,Serotonin receptor signaling pathway,0,Substance P signaling pathway,0,Oxytocin signaling pathway,1,Serotonin neurotransmitter secretion,0,Tachykinin signaling pathway,0,Oxytocin-mediated signaling pathway,1,Serotonergic synapse signaling pathway,1,Substance P signaling pathway,0,Oxytocin-induced uterine contraction,0,Oxytocin-mediated social bonding,0,Oxytocin-regulated lactation,0,Oxytocin-induced uterine smooth muscle contraction,*,Oxytocin regulation of emotional bonding,0,Oxytocin signaling in lactation,0,Serotonin reuptake regulation,1,Serotonin receptor signaling pathway,0,Modulation of synaptic neurotransmission,0
Signal Transduction,70,CACNB3 FLNA NOS1AP RNF207 CAV1 KCNE3 CACNA2D1,Calcium ion-regulated action potential,regulation of membrane repolarization during action potential,Regulation of Membrane Depolarization,TRUE,0.6674618,0.997543802,0.79180753,0.998935648,1,Regulation of Ion Transport,1,Cardiac Muscle Contraction,0,Calcium-mediated signaling,1,G protein-coupled receptor signaling pathway,0,Regulation of ion channel activity,1,Regulation of Calcium Ion Transport,0,Modulation of Cardiac Muscle Contraction,0,Regulation of Membrane Depolarization,0,Cardiac muscle contraction,0,Vascular smooth muscle contraction,0,Regulation of heart rate by cardiac conduction,1,Regulation of voltage-gated calcium channel activity,1,Modulation of potassium channel activity,0,Inhibition of cardiac muscle cell action potential,0,Modulation of cardiac action potential,1,Calcium ion homeostasis in cardiac cells,0,Regulation of potassium ion transmembrane transport in cardiac cells,1,Regulation of cardiac muscle cell membrane depolarization,0,Modulation of neuronal synaptic transmission,0,Inhibition of vascular smooth muscle contraction,0,Calcium ion-regulated action potential,*,Repolarization of myocardial cell membrane,0,Regulation of L-type Calcium Channel Activity,1,Inactivation of cardiac voltage-gated potassium channels,0,Regulation of potassium ion channel surface expression in cardiac cells,0,Modulation of cardiomyocyte membrane potential by potassium ion channels,0
Developmental process,71,TBC1D32 MFSD2A IHH PAX2 MED1,Chondrocyte differentiation,retinal pigment epithelium development,Nephron morphogenesis,TRUE,0.5011462,0.924676601,0.620319,0.979122319,1,Cellular transport,0,Transcriptional regulation,1,Organ morphogenesis,0,Neurogenesis,0,Hedgehog signaling pathway,1,Steroid hormone mediated signaling pathway,0,Sonic hedgehog signaling pathway,0,Kidney development,1,Limb morphogenesis,1,Chondrocyte differentiation,1,Branching morphogenesis of a tube,0,Nephron morphogenesis,0,Ureteric bud development,0,Metanephric mesenchyme development,0,Digit formation,1,Chondrocyte differentiation,0,Osteogenesis,0,Endochondral ossification,1,Synovial joint development,0,Cartilage condensation,0,Chondrocyte differentiation,*,Digit joint formation,0,Bone morphogenesis,1,Hypertrophic chondrocyte differentiation,0,Chondrocyte proliferation,0,Osteoblast differentiation,0
Muscle contraction,72,NRAP NEBL NEB,Nebulin filament assembly,cardiac muscle thin filament assembly,Striated muscle thin filament assembly,TRUE,0.66141284,0.998444408,0.94012886,0.999836253,1,Muscle organ development,1,Cytoskeleton organization,0,Sarcomere assembly,1,Striated muscle thin filament assembly,1,Regulation of muscle filament sliding,0,Cardiac muscle tissue development,0,Sarcomere assembly,1,Striated muscle contraction,0,Actin filament organization,0,Myosin filament assembly,0,Z-disk assembly,1,Actin filament capping,0,Sarcomere organization,1,Muscle fiber development,0,Actin filament anchoring at Z-disk,1,Nebulin filament assembly,0,Z-disk structural protein binding,0,Actin-myosin filament sliding,0,Thin filament capping,0,Sarcomere structural integrity maintenance,1,Nebulin filament assembly,*,Nebulette-mediated actin filament capping,0,Actin-myosin interaction at Z-disk,0,Actin filament anchoring at Z disk,1,Nebulin-based sarcomere organization,0,Nebulette-mediated signal transduction,0
Metabolic process,73,CYP11A1 CYP11B1 BMP5 DKK3 CACNA1H WNT4 DGKQ HSD11B2 CYP11B2 REST BMP2 H6PD,Corticosteroid biosynthesis,cortisol metabolic process,Steroid metabolic process,TRUE,0.557209,0.995906337,0.7362906,0.999181267,1,Signal transduction,0,Developmental process,1,Steroid metabolic process,1,Lipid biosynthetic process,0,Regulation of blood pressure,0,Skeletal system development,0,Adrenal gland development,1,Regulation of Wnt signaling pathway,0,Glucocorticoid biosynthetic process,0,Mineralocorticoid biosynthetic process,0,Androgen metabolic process,0,Corticosteroid biosynthesis,1,Adrenal cortex formation,1,Adrenal zonation,0,Glucocorticoid biosynthesis,0,Mineralocorticoid biosynthesis,0,Steroid hydroxylation,0,Steroidogenesis,1,Angiotensin-regulated aldosterone production,0,Adrenal cortex zonation,1,Corticosteroid biosynthesis,*,Mineralocorticoid biosynthesis,0,Glucocorticoid biosynthesis,0,Steroidogenesis in zona glomerulosa,0,Steroidogenesis in zona fasciculata,1,WNT signaling in adrenal cortex development,0
Signal transduction,74,EDNRA EDN1 CDC42,Endothelin-1 signaling pathway in smooth muscle,endothelin receptor signaling pathway involved in heart process,Endothelin receptor signaling pathway,TRUE,0.8459585,0.999836253,0.9080335,0.999836253,1,Regulation of the actin cytoskeleton,1,Vasoconstriction,0,G protein-coupled receptor signaling pathway,0,Endothelin receptor signaling pathway,1,Actin cytoskeleton organization,0,Cell motility mediated by CDC42,0,Endothelin-induced actin filament polymerization,0,CDC42-dependent signal transduction,1,Vasoconstriction endothelin receptor signaling pathway,1,Endothelial cell proliferation signaling pathway,0,Endothelin-induced actin cytoskeleton rearrangement,1,Actin cytoskeleton organization,0,Cell migration,0,Neuronal cell projection organization,0,Endothelin-induced smooth muscle contraction,1,Regulation of cytoskeletal organization by EDNRA,0,Endothelin-mediated blood pressure regulation,1,Endothelin-1 activation of EDNRA leading to actin polymerization,0,CDC42-mediated filopodial extension,0,Endothelin signaling pathway leading to GTPase activity,0,Vascular smooth muscle cell contraction,0,Arteriolar resistance modulation,0,Endothelin-1 signaling pathway in smooth muscle,*,Endothelin-induced vasoconstriction,0,Endothelial cell activation by endothelin,0,Rho GTPase-mediated cytoskeletal reorganization,1
